"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "GraphQL", "Markdown", "JSON with Comments", "JSON", "YAML", "SCSS", "comment", "blank", "total"
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/header/header.tsx", "TypeScript React", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/home/home.styles.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/home/home.tsx", "TypeScript React", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/login-after/loginAfter.tsx", "TypeScript React", 71, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 81
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/login/login.styles.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/login/login.tsx", "TypeScript React", 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 73
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/logout/logout.styles.tsx", "TypeScript React", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 145
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/logout/logout.tsx", "TypeScript React", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 206
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/sidebar/sidebar.styles.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 51
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/sidebar/sidebar.tsx", "TypeScript React", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 119
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/stats/stats.styles.tsx", "TypeScript React", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/stats/stats.tsx", "TypeScript React", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
